V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,PID,psid,K2,project,gc,term,Q_TotalDuration,med,Q15,Q19,Q20,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q1_15,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q21_15,Q21_16,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q23_11,Q23_12,Q23_13,Q23_x1,Q23_x2,Q23_x3,Q23_x4,Q23_x5,Q23_x6,Q23_x7,Q23_x8,Q23_x9,Q23_x10,Q23_x16,Q23_x11,Q23_x12,Q23_x13,Q23_x14,Q23_x15,Q5,Q6,Q10,Q11,Q12,Q13,Q14,Q15,Q16,LocationLatitude,LocationLongitude,LocationAccuracy,
R_8HPQyn1Pfb2VueN,Default Response Set,Anonymous,,,172.164.108.46,0,2015-03-05 14:43:32,2015-03-05 14:47:47,1,1269401043,NxiZSfrovz3126KnUGcanw**,11808,Qual724-0219FoodBeverageServers,1,,255,19079097664482,1,1,1,6,7,7,6,5,7,6,6,7,6,5,7,6,6,7,7,6,5,6,5,6,7,6,6,7,6,7,6,5,5,5,5,6,7,7,6,7,6,5,6,7,7,6,7,,,,,,,,,,,,,,,,,1,2,1,4,1,6,2,2,6,38,-97,-1,
R_5nhw8qMk28CfBdz,Default Response Set,Anonymous,,,98.117.95.46,0,2015-03-05 14:59:21,2015-03-05 15:06:25,1,1273455370,NxiZSfrovz0bmdTKMdLB_Q**,11808,Qual724-0219FoodBeverageServers,1,,424,19140034199292,1,1,1,3,2,4,1,2,6,6,7,4,4,6,6,5,5,5,4,4,6,4,4,5,6,3,6,3,7,2,5,4,4,5,6,4,6,4,4,6,4,3,4,5,6,6,6,,,,,,,,,,,,,,,,,1,3,1,4,3,1,2,3,3,37.552200317383,-77.458198547363,-1,
R_3aDv8olY4rnIU73,Default Response Set,Anonymous,,,99.156.160.30,0,2015-03-05 14:55:08,2015-03-05 15:12:40,1,1222995153,NxiZSfrovz1sb-yu4tHxug**,11808,Qual724-0219FoodBeverageServers,1,,1052,18381617137782,1,1,1,6,7,6,6,5,6,5,6,7,6,5,6,7,6,6,6,7,5,6,7,7,6,5,5,6,6,5,6,6,7,5,6,5,6,7,6,6,7,6,5,5,6,7,6,,,,,,,,,,,,,,,,,1,2,2,1,3,6,2,2,5,32.6708984375,-97.415702819824,-1,
R_eb13I3GabG2H0cl,Default Response Set,Anonymous,,,172.56.2.180,0,2015-03-05 15:23:35,2015-03-05 15:25:08,1,1163338032,NxiZSfrovz2V8joG-8ek0Q**,11808,Qual724-0219FoodBeverageServers,1,,93,17484970609152,1,1,1,3,5,6,5,5,4,5,5,6,5,6,5,6,5,5,4,5,5,4,4,5,5,5,4,4,5,4,5,5,6,5,5,4,5,5,4,5,4,4,5,5,4,3,4,,,,,,,,,,,,,,,,,1,2,1,4,1,6,2,4,5,38.892700195312,-76.943000793457,-1,
R_0JN11tG8qyjpvxz,Default Response Set,Anonymous,,,70.215.199.70,0,2015-03-05 15:34:07,2015-03-05 15:37:36,1,1275816106,NxiZSfrovz3kqT1gNYfwjA**,11808,Qual724-0219FoodBeverageServers,1,,209,19175516061372,1,1,1,6,2,5,4,5,2,5,6,3,3,6,6,6,6,6,5,4,5,3,4,5,6,4,6,3,5,3,3,2,5,5,6,5,6,5,5,6,6,4,5,7,6,5,6,,,,,,,,,,,,,,,,,1,2,2,4,4,3,2,1,2,35.503402709961,-96.902801513672,-1,
R_3TVfmWRwtjFubiZ,Default Response Set,Anonymous,,,76.217.226.204,0,2015-03-05 16:04:46,2015-03-05 16:06:15,1,1238609802,NxiZSfrovz0A8mllUaPTNQ**,11808,Qual724-0219FoodBeverageServers,1,,89,18616305312252,1,1,1,6,6,5,5,6,6,6,7,6,6,5,5,6,6,6,6,6,6,5,6,6,6,6,7,6,4,6,6,6,6,5,6,6,7,7,6,5,5,6,6,5,6,6,5,,,,,,,,,,,,,,,,,1,2,1,1,1,3,2,5,6,41.881301879883,-87.844100952148,-1,
R_57OQA5mJ5xEh0fb,Default Response Set,Anonymous,,,67.221.255.37,0,2015-03-05 16:22:21,2015-03-05 16:25:01,1,1274186679,NxiZSfrovz1rRucSDyz-WA**,11808,Qual724-0219FoodBeverageServers,1,,160,19151025773562,1,1,1,6,5,5,4,5,5,6,5,4,4,4,5,5,4,5,6,5,4,4,4,5,6,5,5,4,5,5,6,5,4,5,6,5,4,4,4,5,5,4,4,5,6,4,4,,,,,,,,,,,,,,,,,1,3,1,4,1,7,2,2,6,40.714294433594,-74.005996704102,-1,
R_06Sg5Gx7ITYpwd7,Default Response Set,Anonymous,,,67.86.45.136,0,2015-03-05 16:17:43,2015-03-05 16:25:04,1,1249915232,NxiZSfrovz1TcshdpyfE7g**,11808,Qual724-0219FoodBeverageServers,1,,441,18786225925152,1,1,1,6,3,4,5,6,6,5,4,4,5,6,5,4,5,6,5,3,3,3,4,5,4,4,5,4,4,5,5,4,5,5,6,5,4,4,5,5,4,3,3,3,5,5,4,,,,,,,,,,,,,,,,,1,2,1,2,3,6,2,3,5,41.190093994141,-73.964698791504,-1,
R_7TK5Eo6JRQurXBr,Default Response Set,Anonymous,,,209.73.136.113,0,2015-03-05 16:25:35,2015-03-05 16:31:37,1,1270793938,NxiZSfrovz3mjK7XpBcA5g**,11808,Qual724-0219FoodBeverageServers,1,,362,19100032876332,1,1,1,3,4,3,3,3,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,5,1,1,1,2,5,7,7,7,7,7,7,7,6,7,7,7,7,7,,,,,,,,,,,,,,,,,1,2,1,4,1,6,1,4,6,37.372100830078,-121.86430358887,-1,
R_bvLmRfifNJbjcZn,Default Response Set,Anonymous,,,173.244.34.191,0,2015-03-05 16:40:10,2015-03-05 16:42:10,1,1253920549,NxiZSfrovz0Zn-2q8nCLjA**,11808,Qual724-0219FoodBeverageServers,1,,120,18846425839662,1,1,1,5,4,5,6,5,5,5,6,5,5,6,5,5,6,6,4,5,5,4,4,5,4,4,5,4,6,6,6,5,5,5,5,4,5,6,4,5,5,5,5,4,6,6,5,,,,,,,,,,,,,,,,,1,2,1,4,1,3,2,3,6,25.78059387207,-80.182601928711,-1,
R_43hcXyyFQszPKNn,Default Response Set,Anonymous,,,165.248.217.216,0,2015-03-05 16:58:20,2015-03-05 16:59:55,1,1209923414,NxiZSfrovz2gDKF4E1GeAg**,11808,Qual724-0219FoodBeverageServers,1,,95,18185148900612,1,1,1,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,1,1,1,2,2,3,2,4,2,21.470092773438,-157.96369934082,-1,
R_6l3WRfmqpUJ3cBD,Default Response Set,Anonymous,,,74.133.19.206,0,2015-03-05 17:13:55,2015-03-05 17:23:33,1,1275874842,NxiZSfrovz1HWAmHQTE8kA**,11808,Qual724-0219FoodBeverageServers,1,,578,19176398863452,1,1,1,6,1,4,4,4,4,7,7,4,3,4,4,6,6,5,1,4,4,4,4,4,6,4,6,6,7,4,4,4,7,5,4,4,4,5,5,7,7,7,7,7,4,7,7,,,,,,,,,,,,,,,,,1,5,2,4,4,2,2,5,2,38.096694946289,-87.533203125,-1,
R_e99mJAnS90tTmU5,Default Response Set,Anonymous,,,192.80.157.110,0,2015-03-05 17:40:27,2015-03-05 17:43:29,1,1264525973,NxiZSfrovz0aT0UrRR6Ufw**,11808,Qual724-0219FoodBeverageServers,1,,182,19005825362382,1,1,1,7,6,6,7,7,5,6,6,7,6,6,5,5,6,6,7,6,6,7,6,6,5,6,6,5,5,6,6,5,6,5,7,7,6,6,6,7,7,7,6,6,7,6,7,,,,,,,,,,,,,,,,,1,2,2,6,1,8,2,3,6,34.052993774414,-118.26419830322,-1,
R_1A1CvksddlwxasZ,Default Response Set,Anonymous,,,198.7.62.204,0,2015-03-05 18:26:00,2015-03-05 18:29:02,1,1270590390,NxiZSfrovz0LChVsskfh0A**,11808,Qual724-0219FoodBeverageServers,1,,182,19096973549892,1,1,1,1,3,5,6,5,4,3,4,5,6,5,4,5,6,4,2,3,4,5,6,5,4,3,3,3,4,4,3,5,3,5,3,4,6,5,6,5,6,7,5,4,4,5,4,,,,,,,,,,,,,,,,,1,2,1,4,1,8,2,4,6,38.793197631836,-77.536598205566,-1,
R_bHNl0xIDa209anj,Default Response Set,Anonymous,,,98.163.5.33,0,2015-03-05 18:37:30,2015-03-05 18:42:39,1,1276050106,NxiZSfrovz2ENB-QzEiy5A**,11808,Qual724-0219FoodBeverageServers,1,,309,19179033081372,1,1,1,6,1,6,5,5,2,3,7,2,3,6,5,6,6,5,5,6,7,4,5,6,7,6,7,5,7,4,5,3,6,5,7,7,7,4,6,6,6,4,6,7,7,6,6,,,,,,,,,,,,,,,,,1,5,2,4,3,3,2,5,4,37.251998901367,-79.977203369141,-1,
R_afTxVx5HSqTUXNb,Default Response Set,Anonymous,,,198.136.62.218,0,2015-03-05 18:40:34,2015-03-05 18:42:44,1,1272702635,NxiZSfrovz1agnqTMuhXGg**,11808,Qual724-0219FoodBeverageServers,1,,130,19128720592242,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,1,3,1,4,1,3,2,4,6,28.451705932617,-81.465301513672,-1,
R_8csVdrbPuTHo1G5,Default Response Set,Anonymous,,,75.187.212.243,0,2015-03-06 13:36:54,2015-03-06 13:40:13,1,1097012780,NxiZSfrovz104YK5AvPJnw**,11808,Qual724-0219FoodBeverageServers,1,,199,16488102071592,1,1,1,6,6,6,6,5,3,4,7,1,2,7,7,7,7,7,6,6,6,7,5,7,7,7,7,1,1,1,1,1,1,5,7,7,7,7,7,7,6,5,6,7,7,7,7,,,,,,,,,,,,,,,,,1,5,2,4,1,2,2,5,3,40.725692749023,-82.522903442383,-1,
R_di1R9CQOcVEVcix,Default Response Set,Anonymous,,,71.190.38.189,0,2015-03-06 13:42:40,2015-03-06 13:44:26,1,1276547305,NxiZSfrovz3YOEv2LyTKvQ**,11808,Qual724-0219FoodBeverageServers,1,,106,19186505982342,1,1,1,1,3,3,4,4,3,3,4,3,3,6,3,3,4,3,2,3,5,3,5,5,3,4,4,3,4,2,4,4,6,5,3,4,3,5,4,4,2,2,3,4,7,6,4,,,,,,,,,,,,,,,,,1,1,2,4,3,3,2,3,4,40.769897460938,-72.999397277832,-1,
R_9yK9K7uZ76uTtOd,Default Response Set,Anonymous,,,99.29.16.85,0,2015-03-06 14:00:02,2015-03-06 14:01:35,1,1224226968,NxiZSfrovz1g7yIy3ivP7A**,11808,Qual724-0219FoodBeverageServers,1,,93,18400131317232,1,1,1,6,5,5,5,6,6,7,6,5,5,6,5,4,6,5,7,6,5,6,5,4,7,6,7,6,6,6,5,4,6,5,7,6,5,5,4,5,6,5,7,6,7,6,5,,,,,,,,,,,,,,,,,1,2,1,4,1,6,2,4,6,41.759002685547,-88.261497497559,-1,
R_0CwZEvYWdpo3PF3,Default Response Set,Anonymous,,,71.12.202.184,0,2015-03-06 14:22:45,2015-03-06 14:36:01,1,1263982836,NxiZSfrovz196lBHS0U5uA**,11808,Qual724-0219FoodBeverageServers,1,,796,18997662013272,1,1,1,4,3,3,3,3,6,6,6,6,6,6,6,4,4,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,4,2,4,3,5,,,,,,,,,,,,,,,,,1,1,1,4,3,3,2,3,5,33.416793823242,-86.680099487305,-1,
R_bwQfaMc4BfW18d7,Default Response Set,Anonymous,,,172.56.20.196,0,2015-03-06 14:44:25,2015-03-06 14:49:08,1,1253503994,NxiZSfrovz2VCYoCf4PwsA**,11808,Qual724-0219FoodBeverageServers,1,,283,18840165018012,1,1,1,7,6,5,4,3,2,1,2,3,4,5,6,7,6,5,7,6,5,4,3,2,1,2,3,4,6,7,6,5,4,5,7,6,5,4,3,2,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,1,3,1,4,3,8,2,4,6,38,-97,-1,
R_3OiqvqFuElUKPxb,Default Response Set,Anonymous,,,173.3.227.181,0,2015-03-05 17:23:17,2015-03-06 14:56:09,1,1274727333,NxiZSfrovz0PToJPr5Fygw**,11808,Qual724-0219FoodBeverageServers,1,,77572,19159151803182,1,1,1,5,4,5,5,5,4,4,4,4,5,5,5,6,6,5,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5,4,4,4,5,4,4,5,5,,,,,,,,,,,,,,,,,1,2,1,2,1,2,1,4,2,40.794799804688,-72.879699707031,-1,
R_4Z4ubBC95PJK4mx,Default Response Set,Anonymous,,,69.36.188.25,0,2015-03-05 18:35:32,2015-03-06 15:04:20,1,1257002261,NxiZSfrovz38o7laE038FQ**,11808,Qual724-0219FoodBeverageServers,1,,73728,18892743971022,1,1,1,7,7,6,6,6,7,7,6,6,7,7,7,6,6,7,7,7,6,6,6,6,6,7,7,7,6,6,6,6,7,5,6,6,7,7,7,6,6,7,7,7,6,6,6,,,,,,,,,,,,,,,,,1,3,1,4,1,7,1,4,6,41.692901611328,-111.81469726562,-1,
R_6m5aNM0egV4xj7L,Default Response Set,Anonymous,,,99.43.117.147,0,2015-03-06 15:11:23,2015-03-06 15:12:44,1,1223346108,NxiZSfrovz2g28sjZIVJ4g**,11808,Qual724-0219FoodBeverageServers,1,,81,18386891991432,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,1,3,2,6,1,6,2,3,5,37.822692871094,-121.29000091553,-1,
R_8JnkvfcnrD0UsxT,Default Response Set,Anonymous,,,72.24.145.228,0,2015-03-06 15:05:16,2015-03-06 15:13:12,1,1253451947,NxiZSfrovz1656IVYRlxBQ**,11808,Qual724-0219FoodBeverageServers,1,,476,18839382751602,1,1,1,1,2,1,1,1,7,7,6,7,7,2,1,3,4,3,5,2,5,4,5,5,6,6,4,6,7,7,7,7,7,5,6,7,6,4,4,6,3,2,2,1,1,1,4,,,,,,,,,,,,,,,,,1,2,2,4,1,8,2,1,2,43.595199584961,-116.19540405273,-1,
R_0SyHUA5nCE3PAl7,Default Response Set,Anonymous,,,104.37.187.130,0,2015-03-06 15:24:33,2015-03-06 15:28:21,1,1276399257,NxiZSfrovz1CLNW7pbfYiw**,11808,Qual724-0219FoodBeverageServers,1,,228,19184280820902,1,1,1,7,6,5,6,7,6,5,6,7,6,5,6,7,6,5,7,6,5,6,7,6,5,6,7,6,6,7,6,5,6,5,7,6,5,6,7,6,5,6,7,6,5,6,7,,,,,,,,,,,,,,,,,1,3,1,4,1,8,2,4,4,40.78010559082,-74.063301086426,-1,
R_3dTJYCzTr0hrB0V,Default Response Set,Anonymous,,,162.244.81.178,0,2015-03-06 16:06:59,2015-03-06 16:08:20,1,1273080955,NxiZSfrovz1qOafPGV7DDw**,11808,Qual724-0219FoodBeverageServers,1,,81,19134406741842,1,1,1,7,6,6,6,6,6,6,5,6,6,5,5,5,6,6,6,5,5,5,5,6,5,5,6,6,5,5,5,5,5,5,6,5,5,5,5,6,6,6,6,6,5,5,5,,,,,,,,,,,,,,,,,1,3,1,4,1,8,2,3,6,40.675994873047,-73.962898254395,-1,
